split,area,horizon,model,metric,mice,mae,rmse,bias,mean_observed,mean_predicted,mean_scaled_absolute_error,persistence_mae,persistence_rmse,mae_improvement_vs_persistence_pct
supervised_test,mHV,1,persistence,sd_dprime,3,0.7092039660102044,0.7265277445666902,-0.7092039660102044,1.3582391841643064,0.6490352181541023,2.7516254537529434,0.7092039660102044,0.7265277445666902,0.0
supervised_test,mHV,1,selected_nested,frac_circle_selective,3,0.026519794310566242,0.03259822399952513,-0.02641094847422798,0.35133333333333333,0.32492238485910535,0.5769339714637651,0.020666666666666667,0.02445403852127496,-28.321585373707613
supervised_test,mHV,1,selected_nested,frac_leaf_selective,3,0.038352175841700455,0.04106844703685971,-0.038352175841700455,0.4056666666666667,0.3673144908249662,0.5299415722813426,0.13166666666666668,0.13308017633491975,70.87176518351865
supervised_test,mHV,1,selected_nested,median,3,0.06576988607978952,0.07468966897207073,-0.011438114016712445,0.08404916524887085,0.0726110512321584,0.5875949154775518,0.12402676915129025,0.14448897692849788,46.97121715751368
supervised_test,mHV,1,selected_nested,q05,3,0.2815385701229451,0.3526781730876415,0.2815385701229451,-1.7529604295889536,-1.4714218594660087,0.853458544131899,0.704274089137713,0.7381397371151563,60.024289624562165
supervised_test,mHV,1,selected_nested,q95,3,0.42750364615672415,0.5093090501626677,-0.42750364615672415,2.0118754843870787,1.5843718382303547,0.9483233088469886,1.0320629596710205,1.0779842017589107,58.57775515042272
supervised_test,mHV,1,selected_nested,sd_dprime,3,0.301831415244085,0.33200347314857126,-0.301831415244085,1.3582391841643064,1.0564077689202216,1.1710693181825051,0.7092039660102044,0.7265277445666902,57.44081678757249
unsupervised_lomo,aHV,0,persistence,frac_circle_selective,9,0.04955555555555556,0.05894630324852159,0.03355555555555556,0.2028888888888889,0.23644444444444446,0.6882678568759196,0.04955555555555556,0.05894630324852159,0.0
unsupervised_lomo,aHV,0,persistence,frac_leaf_selective,9,0.06533333333333333,0.0875924907994084,-0.049111111111111105,0.27944444444444444,0.23033333333333328,0.5705244520589046,0.06533333333333333,0.0875924907994084,0.0
unsupervised_lomo,aHV,0,persistence,median,9,0.0807079567392874,0.1044651655604833,-0.06772049124507855,0.06696384722211708,-0.0007566440229614576,0.6103990954740336,0.0807079567392874,0.1044651655604833,0.0
unsupervised_lomo,aHV,0,persistence,q05,9,0.07119692878590692,0.08461150547011638,-0.05078309824069343,-0.6189259931445122,-0.6697090913852056,0.5491221873940061,0.07119692878590692,0.08461150547011638,0.0
unsupervised_lomo,aHV,0,persistence,q95,9,0.08853189845879883,0.12422257812206909,-0.06149815420309698,0.7436023076375322,0.6821041534344353,0.5527188294460141,0.08853189845879883,0.12422257812206909,0.0
unsupervised_lomo,aHV,0,persistence,sd_dprime,9,0.049892094328721125,0.057163258383651265,-0.02330317931252165,0.4498755624559965,0.42657238314347484,0.7832171407051783,0.049892094328721125,0.057163258383651265,0.0
unsupervised_lomo,aHV,0,selected_nested,frac_circle_selective,9,0.05816711726352633,0.06800386340969235,0.002685673016493021,0.2028888888888889,0.2055745619053819,0.8115141236025086,0.04955555555555556,0.05894630324852159,-17.377590890523976
unsupervised_lomo,aHV,0,selected_nested,frac_leaf_selective,9,0.08835497247236791,0.11092538660335573,-0.024051460970078434,0.27944444444444444,0.25539298347436606,0.8278108378773767,0.06533333333333333,0.0875924907994084,-35.23720276382845
unsupervised_lomo,aHV,0,selected_nested,median,9,0.09473549509712409,0.11384272468200361,-0.01988199850990972,0.06696384722211708,0.047081848712207365,0.738905015429818,0.0807079567392874,0.1044651655604833,-17.380613912888588
unsupervised_lomo,aHV,0,selected_nested,q05,9,0.06185060608665548,0.07699607844794393,-0.003640842138185928,-0.6189259931445122,-0.622566835282698,0.4836661291863363,0.07119692878590692,0.08461150547011638,13.12742397548684
unsupervised_lomo,aHV,0,selected_nested,q95,9,0.12198655937902597,0.1405912522294299,-0.018721579449169214,0.7436023076375322,0.724880728188363,0.8307765039694188,0.08853189845879883,0.12422257812206909,-37.78825655229381
unsupervised_lomo,aHV,0,selected_nested,sd_dprime,9,0.056249694353521416,0.0614033726300408,-0.007899564362501702,0.4498755624559965,0.4419759980934948,0.8743962668221176,0.049892094328721125,0.057163258383651265,-12.742700242071114
unsupervised_lomo,aHV,1,persistence,frac_circle_selective,9,0.07355555555555555,0.08975522268926751,0.034888888888888886,0.20155555555555557,0.23644444444444446,1.2875414018621296,0.07355555555555555,0.08975522268926751,0.0
unsupervised_lomo,aHV,1,persistence,frac_leaf_selective,9,0.09744444444444444,0.10816397017696995,-0.0741111111111111,0.30444444444444446,0.23033333333333328,1.0296012389016977,0.09744444444444444,0.10816397017696995,0.0
unsupervised_lomo,aHV,1,persistence,median,9,0.12332347792107612,0.14176556238455498,-0.07174193498212844,0.07098529095916699,-0.0007566440229614576,1.0320451125509988,0.12332347792107612,0.14176556238455498,0.0
unsupervised_lomo,aHV,1,persistence,q05,9,0.07123204337226018,0.09080321531206703,-0.01141716572973465,-0.6582919256554709,-0.6697090913852056,0.7616583262910808,0.07123204337226018,0.09080321531206703,0.0
unsupervised_lomo,aHV,1,persistence,q95,9,0.138565840654903,0.1506623884183997,-0.12433831393718725,0.8064424673716226,0.6821041534344353,0.9078040959032541,0.138565840654903,0.1506623884183997,0.0
unsupervised_lomo,aHV,1,persistence,sd_dprime,9,0.0646916928704803,0.0797345095580773,-0.060230100724733796,0.4868024838682087,0.42657238314347484,0.8463413117013975,0.0646916928704803,0.0797345095580773,0.0
unsupervised_lomo,aHV,1,selected_nested,frac_circle_selective,9,0.05932458815397766,0.0900406706395656,-0.007982340741304963,0.20155555555555557,0.1935732148142506,1.2532426803476369,0.07355555555555555,0.08975522268926751,19.34723664867085
unsupervised_lomo,aHV,1,selected_nested,frac_leaf_selective,9,0.07585835812375984,0.0978163040339511,0.009041427308082963,0.30444444444444446,0.3134858717525274,0.8944643206535616,0.09744444444444444,0.10816397017696995,22.152198048593096
unsupervised_lomo,aHV,1,selected_nested,median,9,0.09483189411602788,0.1377196820407994,0.008536531762654188,0.07098529095916699,0.07952182272182118,0.89239060686538,0.12332347792107612,0.14176556238455498,23.103130308473887
unsupervised_lomo,aHV,1,selected_nested,q05,9,0.08062311732873725,0.09892336951411121,0.005480767461882345,-0.6582919256554709,-0.6528111581935886,0.8571257560767811,0.07123204337226018,0.09080321531206703,-13.183777288823695
unsupervised_lomo,aHV,1,selected_nested,q95,9,0.08159432505432275,0.09870361079948757,0.013011143628209198,0.8064424673716226,0.8194536109998318,0.5861062795111066,0.138565840654903,0.1506623884183997,41.11512284074925
unsupervised_lomo,aHV,1,selected_nested,sd_dprime,9,0.04278730911525896,0.0612421872644323,-0.005145811620589771,0.4868024838682087,0.48165667224761893,0.5657442815841744,0.0646916928704803,0.0797345095580773,33.859654591318645
unsupervised_lomo,mHV,0,persistence,frac_circle_selective,9,0.051777777777777784,0.06590228456670613,-0.008444444444444452,0.29311111111111116,0.2846666666666667,0.7323594461874241,0.051777777777777784,0.06590228456670613,0.0
unsupervised_lomo,mHV,0,persistence,frac_leaf_selective,9,0.08377777777777778,0.10735817517906021,-0.06822222222222224,0.3481111111111111,0.2798888888888889,1.0644365515580099,0.08377777777777778,0.10735817517906021,0.0
unsupervised_lomo,mHV,0,persistence,median,9,0.10045733557005103,0.13166303400257057,-0.050183884650727525,0.041725398041307926,-0.008458486609419601,0.7800432352504214,0.10045733557005103,0.13166303400257057,0.0
unsupervised_lomo,mHV,0,persistence,q05,9,0.3364508486456341,0.4117657716346505,0.3068789564900928,-1.2714133895105786,-0.9645344330204859,0.9881613769197367,0.3364508486456341,0.4117657716346505,0.0
unsupervised_lomo,mHV,0,persistence,q95,9,0.5395976573228836,0.6128771534109074,-0.53473677403397,1.540561851527955,1.005825077493985,1.254714559833284,0.5395976573228836,0.6128771534109074,0.0
unsupervised_lomo,mHV,0,persistence,sd_dprime,9,0.3502797926609608,0.38745221008169656,-0.336570145333139,1.037122528962553,0.700552383629414,1.3245831078358523,0.3502797926609608,0.38745221008169656,0.0
unsupervised_lomo,mHV,0,selected_nested,frac_circle_selective,9,0.057435755195322256,0.07574937639945455,-0.0024079134522543132,0.29311111111111116,0.29070319765885677,0.8148860027767556,0.051777777777777784,0.06590228456670613,-10.9274241969743
unsupervised_lomo,mHV,0,selected_nested,frac_leaf_selective,9,0.08036107887647331,0.09841886854338268,0.0015542563698683035,0.3481111111111111,0.3496653674809795,0.9622906682947941,0.08377777777777778,0.10735817517906021,4.078287813228143
unsupervised_lomo,mHV,0,selected_nested,median,9,0.11911855828980657,0.13693950031481092,0.0,0.041725398041307926,0.041725398041307926,0.888547026906779,0.10045733557005103,0.13166303400257057,-18.57626684389082
unsupervised_lomo,mHV,0,selected_nested,q05,9,0.2759530759917621,0.33722078293072966,-0.001742957376010379,-1.2714133895105786,-1.2731563468865887,0.7658319785049313,0.3364508486456341,0.4117657716346505,17.981162151144137
unsupervised_lomo,mHV,0,selected_nested,q95,9,0.2844915414818839,0.3646704588916191,0.002397493391914665,1.540561851527955,1.5429593449198697,0.636486701610858,0.5395976573228836,0.6128771534109074,47.27709847864475
unsupervised_lomo,mHV,0,selected_nested,sd_dprime,9,0.1731197160441281,0.25823413371258946,0.01330069617599594,1.037122528962553,1.050423225138549,0.6376038222946581,0.3502797926609608,0.38745221008169656,50.576733322526444
unsupervised_lomo,mHV,1,persistence,frac_circle_selective,9,0.03955555555555556,0.04546793742114694,0.006888888888888889,0.2777777777777778,0.2846666666666667,0.8954067381300944,0.03955555555555556,0.04546793742114694,0.0
unsupervised_lomo,mHV,1,persistence,frac_leaf_selective,9,0.0961111111111111,0.10671925786848409,-0.0961111111111111,0.376,0.2798888888888889,1.3572922026812795,0.0961111111111111,0.10671925786848409,0.0
unsupervised_lomo,mHV,1,persistence,median,9,0.11808100636375861,0.13747425864476143,-0.11215413614020993,0.10369564953079033,-0.008458486609419601,1.1118260227939087,0.11808100636375861,0.13747425864476143,0.0
unsupervised_lomo,mHV,1,persistence,q05,9,0.40017680128415417,0.46231768447395544,0.3947927468352847,-1.3593271798557707,-0.9645344330204859,1.2544086096277398,0.40017680128415417,0.46231768447395544,0.0
unsupervised_lomo,mHV,1,persistence,q95,9,0.6002633992168638,0.6548839959481563,-0.6002633992168638,1.6060884767108488,1.005825077493985,1.338086346314667,0.6002633992168638,0.6548839959481563,0.0
unsupervised_lomo,mHV,1,persistence,sd_dprime,9,0.4269298142237927,0.4613319009717629,-0.4269298142237927,1.1274821978532066,0.700552383629414,1.6533075246177897,0.4269298142237927,0.4613319009717629,0.0
unsupervised_lomo,mHV,1,selected_nested,frac_circle_selective,9,0.046345800573975034,0.052749456107559156,0.00021075668805336758,0.2777777777777778,0.27798853446583116,1.0896083715181224,0.03955555555555556,0.04546793742114694,-17.1663497656672
unsupervised_lomo,mHV,1,selected_nested,frac_leaf_selective,9,0.05117100360864188,0.06070847045123934,0.001404543478244224,0.376,0.37740454347824426,0.6922645701065149,0.0961111111111111,0.10671925786848409,46.758493355170295
unsupervised_lomo,mHV,1,selected_nested,median,9,0.08619482458509424,0.09364923940321626,-0.0025922846350685228,0.10369564953079033,0.1011033648957218,0.7958535625390246,0.11808100636375861,0.13747425864476143,27.003650087835695
unsupervised_lomo,mHV,1,selected_nested,q05,9,0.2681572278229544,0.3498755395921024,-0.007720352047758733,-1.3593271798557707,-1.3670475319035293,0.8264055052108277,0.40017680128415417,0.46231768447395544,32.9903115416869
unsupervised_lomo,mHV,1,selected_nested,q95,9,0.27051652003422577,0.31007935425732064,0.006469233217265249,1.6060884767108488,1.612557709928114,0.588909898482379,0.6002633992168638,0.6548839959481563,54.933697375659364
unsupervised_lomo,mHV,1,selected_nested,sd_dprime,9,0.18107482690223964,0.26417739826133785,0.019907756842237778,1.1274821978532066,1.1473899546954445,0.6801591392536986,0.4269298142237927,0.4613319009717629,57.58674590776604
